Ticker,Price,Change_Pct,Volume
LUV,30.725000381469727,9.031227994083835,25461090.0
CRWD,330.7449951171875,7.085738134939754,4025531.0
SMCI,39.29999923706055,6.504058568936539,50796353.0
GEV,287.67999267578125,6.496867240121016,2739174.0
NOW,819.3200073242188,4.527766156001536,1472690.0
NRG,88.41999816894531,4.244280225269523,1825729.0
NFLX,902.4299926757812,4.124936574297246,3800693.0
AVGO,191.875,4.025482881325996,18918732.0
PLTR,79.1594009399414,3.638915667019169,61575180.0
PANW,180.11000061035156,3.6127243359293084,2278705.0
FSLR,137.86500549316406,3.5722371429714483,1381991.0
TSLA,230.00999450683594,3.538150270674372,105823239.0
PWR,245.0399932861328,3.519068199907085,930124.0
VST,112.25,3.465759249946607,5241975.0
ELV,423.20001220703125,3.3329324431484815,1313356.0
EQT,48.97999954223633,3.1374980229683485,3084687.0
APO,129.85000610351562,3.047380289013642,2869896.0
KKR,111.45999908447266,3.041509634112091,4009270.0
AXON,529.9400024414062,2.811133939512853,346485.0
CEG,207.69000244140625,2.710051701493393,2179668.0
FCX,35.415000915527344,2.652176566745924,7471555.0
HPE,15.46500015258789,2.5530519285786473,9381415.0
PODD,243.05999755859375,2.531004834975158,418779.0
FANG,144.0,2.4327771549294583,806220.0
RL,223.6300048828125,2.3946937419819743,598474.0
FTNT,98.31999969482422,2.374009535154278,1689438.0
ETR,82.33999633789062,2.3365613656597404,1888305.0
NVDA,109.33000183105469,2.1966707799404697,197537311.0
ANET,79.20999908447266,2.1273872844469732,4777610.0
NEM,43.244998931884766,2.0651404816098182,3649029.0
HWM,124.75,1.9949329491543353,1790425.0
MU,88.7699966430664,1.9407381447815133,9978788.0
TPR,72.05000305175781,1.9094853773528913,2193197.0
CRM,278.0350036621094,1.8816452475161276,3971161.0
NUE,129.05250549316406,1.8567550130904034,1300310.0
WDC,41.290000915527344,1.8500246252158823,3074384.0
BKR,41.83000183105469,1.6277988001127355,2920543.0
COP,94.40350341796875,1.6184088992409942,4695456.0
STLD,121.30000305175781,1.591291039864097,838128.0
DELL,91.69000244140625,1.4943614769103128,2526540.0
RJF,139.6699981689453,1.4896113388262906,514931.0
DLR,147.77659606933594,1.4740033746828376,1756078.0
TPL,1350.8050537109375,1.467398340914034,31240.0
ADSK,252.0399932861328,1.465378212193247,982576.0
ISRG,489.6600036621094,1.4608107010904907,1206710.0
META,606.6599731445312,1.4498541868164305,9065357.0
FICO,1719.8599853515625,1.4457197698754787,67144.0
TDY,485.9599914550781,1.4403193611757237,109900.0
INTU,587.75,1.374654230983178,696015.0
TRGP,180.88999938964844,1.3730088067257704,611163.0
SCHW,72.2042007446289,1.3534572006911005,3379196.0
WMB,54.75,1.3513504925033997,2171658.0
CMG,50.43000030517578,1.2040908129109622,5477778.0
SNPS,435.0,1.1980909208697705,472107.0
GL,124.01000213623047,1.1665853188244135,319417.0
AJG,325.44000244140625,1.1154252819047594,575446.0
AMZN,196.5399932861328,1.0280662429438687,24627928.0
COF,165.5399932861328,1.0190994194825327,2531442.0
ETN,280.4049987792969,1.0068130021313169,1385858.0
BSX,95.05999755859375,0.9879956786485637,3999384.0
CAH,125.13999938964844,0.9763568800879944,578589.0
DOV,179.4499969482422,0.9620746046077352,944602.0
WST,228.15499877929688,0.9356775597169578,383197.0
WAB,177.0500030517578,0.8831926220842237,590271.0
CZR,27.5,0.880410011383219,2206128.0
KDP,32.82500076293945,0.875844620139866,5986309.0
CF,77.7750015258789,0.8754903568310444,895995.0
EVRG,65.61000061035156,0.8453782237887018,1027931.0
IRM,84.0999984741211,0.8393248626320222,922207.0
OKE,92.18000030517578,0.8313302903659823,1589474.0
GEHC,86.05999755859375,0.8200526514022767,2430071.0
DVN,34.48500061035156,0.803863002743326,3037924.0
NI,38.81999969482422,0.7788142094896634,1533909.0
WFC,67.30000305175781,0.7786826624233919,9956594.0
TTWO,203.4600067138672,0.7576952872684584,603822.0
PCG,16.030000686645508,0.7542478968214292,4523330.0
GDDY,173.72000122070312,0.7539746349399723,919587.0
MS,112.5199966430664,0.7431230938468105,4418458.0
CTRA,26.94499969482422,0.7289708217727804,2449515.0
ADBE,438.17999267578125,0.7125140661924523,1198792.0
KMI,26.325000762939453,0.7077328906299709,4475282.0
WDAY,244.52499389648438,0.6275695047260802,804178.0
CBRE,126.69000244140625,0.6115027665643962,713652.0
DFS,157.91000366210938,0.5860234006969142,1063028.0
WMT,88.31999969482422,0.5693463923223723,11832946.0
IVZ,14.899999618530273,0.5398105624387705,2272509.0
ANSS,320.3299865722656,0.5082975622418906,137998.0
CFG,40.0099983215332,0.5023786519544502,2925854.0
EQIX,834.25,0.4358131894956309,299717.0
SW,43.375,0.42834308676409527,1489386.0
URI,602.280029296875,0.4218473191954981,198677.0
PM,151.22500610351562,0.4216812411630442,1671586.0
CLX,148.67869567871094,0.41786987053835517,591095.0
BA,148.75999450683594,0.41174528213466094,4185523.0
MSFT,381.7200012207031,0.4103528891956487,11422931.0
TFX,139.01499938964844,0.39358573275135345,604375.0
BX,139.88499450683594,0.3695195577896137,1705141.0
CDNS,234.8000030517578,0.35903415702921376,998703.0
CNP,34.54999923706055,0.34853015051157715,1715336.0
VMC,222.02999877929688,0.3117387064346536,395982.0
AES,11.8149995803833,0.2971124635440174,6225822.0
UNH,481.54998779296875,0.27695359811853815,1482233.0
AMD,96.875,0.25354729747067756,16381886.0
PH,608.0750122070312,0.24316463575010158,315504.0
GS,532.8400268554688,0.22195647040306787,1696770.0
PPL,34.345001220703125,0.18962206453025807,2721171.0
